Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
345,4363.153,1.31,38.0,26.0,86.81,1985
346,4218.975,1.31,38.0,26.0,84.72,1985
347,4307.063,1.31,38.0,26.0,87.98,1979
348,4222.652,1.31,38.0,26.0,85.67,1973
349,4218.975,1.31,38.0,26.0,87.95,1979
350,4218.975,1.31,38.0,26.0,87.22,1979
351,4261.044,1.31,38.0,26.0,88.25,1979
352,4243.841,1.31,38.0,26.0,87.03,1985
353,4218.975,1.31,38.0,26.0,87.14,1985
354,4218.975,1.31,38.0,26.0,88.20,1985
355,4218.975,1.30,38.0,26.0,87.37,1985
356,4218.975,1.30,38.0,26.0,87.22,1991
357,4308.582,1.30,38.0,26.0,88.40,1985
358,4218.975,1.30,38.0,26.0,88.32,1979
359,4218.975,1.30,38.0,26.0,87.56,1973
360,4218.975,1.31,38.0,26.0,87.55,1985
361,4218.975,1.30,38.0,26.0,86.66,1985
362,4218.975,1.30,38.0,26.0,86.83,1991
363,4218.975,1.30,38.0,26.0,87.43,1991
364,4243.965,1.31,38.0,26.0,87.50,1991
365,4218.975,1.31,38.0,26.0,87.57,1991
366,4218.975,1.31,38.0,26.0,87.16,1985
367,4218.975,1.31,38.0,26.0,88.43,1985
368,4316.871,1.31,38.0,26.0,86.32,1979
369,4227.828,1.31,38.0,26.0,88.87,1973
370,4218.975,1.31,38.0,26.0,87.06,1985
371,4218.975,1.31,38.0,26.0,88.02,1985
372,4218.975,1.31,38.0,26.0,87.90,1979
373,4230.774,1.31,38.0,26.0,86.82,1985
374,4218.975,1.31,38.0,26.0,85.54,1979
375,4379.923,1.30,38.0,26.0,88.19,1985
376,4300.389,1.31,38.0,26.0,84.80,1979
377,4223.807,1.31,38.0,26.0,88.79,1985
378,4382.109,1.31,38.0,26.0,86.27,1985
379,4218.975,1.30,38.0,26.0,88.23,1985
380,4500.349,1.32,38.0,26.0,86.90,1979
381,4229.144,1.31,38.0,26.0,86.86,1985
382,4218.975,1.31,38.0,26.0,86.88,1973
383,4218.975,1.31,38.0,26.0,87.99,1985
384,4218.975,1.31,38.0,26.0,88.56,1979
385,4218.974,1.31,38.0,26.0,88.09,1979
386,4218.980,1.30,38.0,26.0,88.89,1985
387,4218.980,1.30,38.0,26.0,86.26,1985
388,4218.975,1.30,38.0,26.0,89.59,1985
389,4218.970,1.30,38.0,26.0,87.05,1979
